bug_id,project,percent_agreement,cohens_kappa,aggregated_raw,aggregated_derived,aggregated_zscore
Cli-11,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 3, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 2, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9977851578566089, 'Clarity': 0.4656330736664176, 'Specificity': -0.26607604209509567, 'Reproducibility': 0.4656330736664176, 'ReasoningQuality': -0.26607604209509567, 'TechnicalContext': -0.9977851578566089, 'Ambiguity': 2.6607604209509574, 'RepairReadiness': 0.4656330736664176, 'RootCauseEvidence': -0.26607604209509567, 'HiddenReproducibility': -0.26607604209509567, 'ImpactScope': -0.9977851578566089}"
Cli-12,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 3, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 2, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9977851578566089, 'Clarity': 0.4656330736664176, 'Specificity': -0.26607604209509567, 'Reproducibility': 0.4656330736664176, 'ReasoningQuality': -0.26607604209509567, 'TechnicalContext': -0.9977851578566089, 'Ambiguity': 2.6607604209509574, 'RepairReadiness': 0.4656330736664176, 'RootCauseEvidence': -0.26607604209509567, 'HiddenReproducibility': -0.26607604209509567, 'ImpactScope': -0.9977851578566089}"
Cli-13,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.8186312161546414, 'Clarity': 0.3069867060579905, 'Specificity': -0.8186312161546414, 'Reproducibility': -0.25582225504832545, 'ReasoningQuality': -0.25582225504832545, 'TechnicalContext': -0.8186312161546414, 'Ambiguity': 1.9954135893769382, 'RepairReadiness': 1.9954135893769382, 'RootCauseEvidence': -0.25582225504832545, 'HiddenReproducibility': -0.25582225504832545, 'ImpactScope': -0.8186312161546414}"
Cli-14,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 0, 'Reproducibility': 3, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9246780984747159, 'Clarity': 0.27196414661021057, 'Specificity': -0.9246780984747159, 'Reproducibility': 0.8702852691526738, 'ReasoningQuality': -0.32635697593225266, 'TechnicalContext': -0.9246780984747159, 'Ambiguity': 2.0669275142376002, 'RepairReadiness': 1.468606391695137, 'RootCauseEvidence': -0.32635697593225266, 'HiddenReproducibility': -0.32635697593225266, 'ImpactScope': -0.9246780984747159}"
Cli-15,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 3, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 1, 'RepairReadiness': 2, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 3, 'ambiguity_count': 1, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9396184772996339, 'Clarity': -0.20134681656420725, 'Specificity': -0.9396184772996339, 'Reproducibility': 1.275196504906646, 'ReasoningQuality': -0.20134681656420725, 'TechnicalContext': -0.9396184772996339, 'Ambiguity': 2.013468165642073, 'RepairReadiness': 1.275196504906646, 'RootCauseEvidence': -0.20134681656420725, 'HiddenReproducibility': -0.20134681656420725, 'ImpactScope': -0.9396184772996339}"
Cli-16,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 2, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 2, 'impact_scope': 0}","{'Actionability': -0.8697956671643065, 'Clarity': -0.3069867060579905, 'Specificity': -0.3069867060579905, 'Reproducibility': 0.25582225504832545, 'ReasoningQuality': -0.3069867060579905, 'TechnicalContext': -0.8697956671643065, 'Ambiguity': 1.9442491383672733, 'RepairReadiness': 1.9442491383672733, 'RootCauseEvidence': 0.25582225504832545, 'HiddenReproducibility': -0.8697956671643065, 'ImpactScope': -0.8697956671643065}"
Cli-17,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7481320020807246, 'Clarity': -0.19950186722152652, 'Specificity': -0.7481320020807246, 'Reproducibility': 0.3491282676376716, 'ReasoningQuality': -0.19950186722152652, 'TechnicalContext': -0.7481320020807246, 'Ambiguity': 1.995018672215266, 'RepairReadiness': 1.995018672215266, 'RootCauseEvidence': -0.19950186722152652, 'HiddenReproducibility': -0.7481320020807246, 'ImpactScope': -0.7481320020807246}"
Cli-18,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7017565899639198, 'Clarity': -0.15037641213512565, 'Specificity': -0.7017565899639198, 'Reproducibility': -0.15037641213512565, 'ReasoningQuality': -0.15037641213512565, 'TechnicalContext': -0.7017565899639198, 'Ambiguity': 2.055144299180051, 'RepairReadiness': 2.055144299180051, 'RootCauseEvidence': -0.15037641213512565, 'HiddenReproducibility': -0.7017565899639198, 'ImpactScope': -0.7017565899639198}"
Cli-19,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7017565899639198, 'Clarity': -0.15037641213512565, 'Specificity': -0.7017565899639198, 'Reproducibility': -0.15037641213512565, 'ReasoningQuality': -0.15037641213512565, 'TechnicalContext': -0.7017565899639198, 'Ambiguity': 2.055144299180051, 'RepairReadiness': 2.055144299180051, 'RootCauseEvidence': -0.15037641213512565, 'HiddenReproducibility': -0.7017565899639198, 'ImpactScope': -0.7017565899639198}"
Cli-2,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 1, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 2, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 2, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.8798826901281197, 'Clarity': -0.07332355751067658, 'Specificity': -0.07332355751067658, 'Reproducibility': -0.07332355751067658, 'ReasoningQuality': -0.07332355751067658, 'TechnicalContext': -0.8798826901281197, 'Ambiguity': 1.5397947077242098, 'RepairReadiness': 2.346353840341653, 'RootCauseEvidence': -0.07332355751067658, 'HiddenReproducibility': -0.8798826901281197, 'ImpactScope': -0.8798826901281197}"
Cli-20,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 0, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7960297521679913, 'Clarity': 0.2985111570629967, 'Specificity': -0.7960297521679913, 'Reproducibility': 0.2985111570629967, 'ReasoningQuality': -0.24875929755249732, 'TechnicalContext': -0.7960297521679913, 'Ambiguity': 1.9403225209094788, 'RepairReadiness': 1.9403225209094788, 'RootCauseEvidence': -0.24875929755249732, 'HiddenReproducibility': -0.7960297521679913, 'ImpactScope': -0.7960297521679913}"
Cli-21,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 1, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 1, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.806225774829855, 'Clarity': -0.1240347345892085, 'Specificity': -0.806225774829855, 'Reproducibility': 0.558156305651438, 'ReasoningQuality': -0.1240347345892085, 'TechnicalContext': -0.806225774829855, 'Ambiguity': 1.9225383861327312, 'RepairReadiness': 1.9225383861327312, 'RootCauseEvidence': -0.1240347345892085, 'HiddenReproducibility': -0.806225774829855, 'ImpactScope': -0.806225774829855}"
Cli-22,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 3, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 2, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9977851578566089, 'Clarity': 0.4656330736664176, 'Specificity': -0.26607604209509567, 'Reproducibility': 0.4656330736664176, 'ReasoningQuality': -0.26607604209509567, 'TechnicalContext': -0.9977851578566089, 'Ambiguity': 2.6607604209509574, 'RepairReadiness': 0.4656330736664176, 'RootCauseEvidence': -0.26607604209509567, 'HiddenReproducibility': -0.26607604209509567, 'ImpactScope': -0.9977851578566089}"
Cli-23,Cli,1.0,1.0,"{'Actionability': 1, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': 0.0, 'Clarity': -0.5863019699779287, 'Specificity': -0.5863019699779287, 'Reproducibility': -0.5863019699779287, 'ReasoningQuality': -0.5863019699779287, 'TechnicalContext': -0.5863019699779287, 'Ambiguity': 2.345207879911715, 'RepairReadiness': 1.758905909933786, 'RootCauseEvidence': 0.0, 'HiddenReproducibility': -0.5863019699779287, 'ImpactScope': -0.5863019699779287}"
Cli-24,Cli,1.0,1.0,"{'Actionability': 1, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': 0.0, 'Clarity': -0.5863019699779287, 'Specificity': -0.5863019699779287, 'Reproducibility': -0.5863019699779287, 'ReasoningQuality': -0.5863019699779287, 'TechnicalContext': -0.5863019699779287, 'Ambiguity': 2.345207879911715, 'RepairReadiness': 1.758905909933786, 'RootCauseEvidence': 0.0, 'HiddenReproducibility': -0.5863019699779287, 'ImpactScope': -0.5863019699779287}"
Cli-25,Cli,1.0,1.0,"{'Actionability': 1, 'Clarity': 0, 'Specificity': 0, 'Reproducibility': 0, 'ReasoningQuality': 0, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 1, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 4, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': 0.0, 'Clarity': -0.5863019699779287, 'Specificity': -0.5863019699779287, 'Reproducibility': -0.5863019699779287, 'ReasoningQuality': -0.5863019699779287, 'TechnicalContext': -0.5863019699779287, 'Ambiguity': 2.345207879911715, 'RepairReadiness': 1.758905909933786, 'RootCauseEvidence': 0.0, 'HiddenReproducibility': -0.5863019699779287, 'ImpactScope': -0.5863019699779287}"
Cli-26,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7017565899639198, 'Clarity': -0.15037641213512565, 'Specificity': -0.7017565899639198, 'Reproducibility': -0.15037641213512565, 'ReasoningQuality': -0.15037641213512565, 'TechnicalContext': -0.7017565899639198, 'Ambiguity': 2.055144299180051, 'RepairReadiness': 2.055144299180051, 'RootCauseEvidence': -0.15037641213512565, 'HiddenReproducibility': -0.7017565899639198, 'ImpactScope': -0.7017565899639198}"
Cli-27,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7017565899639198, 'Clarity': -0.15037641213512565, 'Specificity': -0.7017565899639198, 'Reproducibility': -0.15037641213512565, 'ReasoningQuality': -0.15037641213512565, 'TechnicalContext': -0.7017565899639198, 'Ambiguity': 2.055144299180051, 'RepairReadiness': 2.055144299180051, 'RootCauseEvidence': -0.15037641213512565, 'HiddenReproducibility': -0.7017565899639198, 'ImpactScope': -0.7017565899639198}"
Cli-28,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 2, 'RepairReadiness': 0, 'RootCauseEvidence': 2, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 2, 'hidden_s2r_present': False, 'root_cause_evidence': 2, 'impact_scope': 0}","{'Actionability': -0.9128709291752768, 'Clarity': -0.24343224778007377, 'Specificity': -0.24343224778007377, 'Reproducibility': 0.4260064336151293, 'ReasoningQuality': -0.24343224778007377, 'TechnicalContext': -0.9128709291752768, 'Ambiguity': 1.0954451150103324, 'RepairReadiness': 2.4343224778007384, 'RootCauseEvidence': 0.4260064336151293, 'HiddenReproducibility': -0.9128709291752768, 'ImpactScope': -0.9128709291752768}"
Cli-29,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 1, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 2, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 3, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7249465119962123, 'Clarity': -0.06041220933301764, 'Specificity': -0.7249465119962123, 'Reproducibility': -0.06041220933301764, 'ReasoningQuality': -0.06041220933301764, 'TechnicalContext': -0.7249465119962123, 'Ambiguity': 2.5977250013197613, 'RepairReadiness': 1.2686563959933717, 'RootCauseEvidence': -0.06041220933301764, 'HiddenReproducibility': -0.7249465119962123, 'ImpactScope': -0.7249465119962123}"
Cli-3,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 2, 'Specificity': 1, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 3, 'RootCauseEvidence': 1, 'HiddenReproducibility': 1, 'ImpactScope': 0}","{'repair_difficulty': 2, 'ambiguity_count': 0, 'hidden_s2r_present': True, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.9977851578566089, 'Clarity': 0.4656330736664176, 'Specificity': -0.26607604209509567, 'Reproducibility': 0.4656330736664176, 'ReasoningQuality': -0.26607604209509567, 'TechnicalContext': -0.9977851578566089, 'Ambiguity': 2.6607604209509574, 'RepairReadiness': 0.4656330736664176, 'RootCauseEvidence': -0.26607604209509567, 'HiddenReproducibility': -0.26607604209509567, 'ImpactScope': -0.9977851578566089}"
Cli-30,Cli,1.0,1.0,"{'Actionability': 0, 'Clarity': 1, 'Specificity': 0, 'Reproducibility': 2, 'ReasoningQuality': 1, 'TechnicalContext': 0, 'Ambiguity': 0, 'RepairReadiness': 0, 'RootCauseEvidence': 1, 'HiddenReproducibility': 0, 'ImpactScope': 0}","{'repair_difficulty': 5, 'ambiguity_count': 0, 'hidden_s2r_present': False, 'root_cause_evidence': 1, 'impact_scope': 0}","{'Actionability': -0.7481320020807246, 'Clarity': -0.19950186722152652, 'Specificity': -0.7481320020807246, 'Reproducibility': 0.3491282676376716, 'ReasoningQuality': -0.19950186722152652, 'TechnicalContext': -0.7481320020807246, 'Ambiguity': 1.995018672215266, 'RepairReadiness': 1.995018672215266, 'RootCauseEvidence': -0.19950186722152652, 'HiddenReproducibility': -0.7481320020807246, 'ImpactScope': -0.7481320020807246}"
