bug_id,dimension,item_code,item_text,human_value,human_confidence,human_notes
Chart-5,TechnicalContext,T3,"Technical artifacts such as stack traces, logs, screenshots, or code snippets are included and directly relevant to the failure.",,,
Chart-5,TechnicalContext,T4,"External dependencies, libraries, services, or integrations are referenced by name and version when they are relevant to the bug.",,,
Chart-5,TechnicalContext,T5,"Environment details (OS, browser, framework version, hardware, runtime, etc.) are provided with enough specificity to reconstruct the affected environment.",,,
Chart-5,Ambiguity,M1,The report contains vague or underspecified references that a developer would need to resolve before investigating.,,,
Chart-5,Ambiguity,M2,"Inputs, parameters, or conditions are insufficiently described to attempt reproduction.",,,
Chart-5,Ambiguity,M3,Expected behavior is unclear or underspecified to the point that a developer could not determine what the correct behavior should be.,,,
Chart-5,Ambiguity,M4,Environment or version information that would materially affect reproduction is missing.,,,
Chart-5,Ambiguity,M5,The report contains contradictory or inconsistent statements that would mislead a developer.,,,
Chart-5,RepairReadiness,P1,The faulty behavior is described precisely enough to determine what the correct behavior should be and what code change would achieve it.,,,
Chart-5,RepairReadiness,P2,"The specific component, class, method, or code location requiring a fix is identifiable directly from the report.",,,
Chart-5,RepairReadiness,P3,The expected correct behavior is stated concretely enough to serve as an acceptance criterion for the fix.,,,
Chart-5,RepairReadiness,P4,"Relevant constraints, edge cases, or conditions that would affect the fix are documented explicitly.",,,
Chart-5,RepairReadiness,P5,"A developer could implement a plausible fix using only the information in this report, without further investigation or clarification.",,,
Chart-5,RootCauseEvidence,RC1,A specific potential root cause is explicitly proposed in the report — not merely suggested or loosely implied.,,,
Chart-5,RootCauseEvidence,RC2,"The proposed root cause references a specific code construct, operation, API call, data condition, or logic error by name.",,,
Chart-5,RootCauseEvidence,RC3,The causal chain from the root cause to the observed failure is articulated clearly enough that a developer could verify it.,,,
Chart-5,HiddenReproducibility,H1,"The report describes a specific, concrete scenario from which complete and unambiguous reproduction steps can be directly derived — the steps must be fully determinable, not merely suggested or partially implied.",,,
Chart-5,ImpactScope,I1,"A specific subsystem, module, class, or code concept likely affected by the bug is identifiable from the report — not just a broad functional area.",,,
Chart-5,ImpactScope,I2,The report distinguishes between where the symptom manifests and where the underlying defect likely resides.,,,
Chart-5,ImpactScope,I3,Multiple impacted areas or cross-cutting concerns are identified with enough specificity to understand the scope of a fix.,,,
Chart-5,ImpactScope,I4,"The report names three or more distinct technical concepts, classes, methods, or components that are relevant to understanding or fixing the bug.",,,
Cli-25,Actionability,A1,The report describes observable faulty behavior with enough detail to distinguish it from normal or expected behavior.,,,
Cli-25,Actionability,A2,"The affected class, method, API, or code path is specifically identified — not just a general feature area or subsystem.",,,
Cli-25,Actionability,A3,"The report includes concrete debugging artifacts (stack traces, error messages, code snippets, or logs) that directly implicate the fault location.",,,
Cli-25,Actionability,A4,"A developer could immediately attempt to reproduce or investigate the bug using only the information in this report, without needing clarification.",,,
Cli-25,Actionability,A5,"The report pinpoints a specific module, class, or component precisely enough that a developer would know where to start reading code.",,,
Cli-25,Clarity,C1,The report is written with enough precision that a developer unfamiliar with the codebase could understand the failure scenario without guessing.,,,
Cli-25,Clarity,C2,The problem is described precisely enough that a developer could write a failing test case without asking for clarification.,,,
Cli-25,Clarity,C3,The sequence of events or conditions leading to the failure is presented unambiguously — a reader cannot construct multiple different interpretations.,,,
Cli-25,Clarity,C4,"All referenced entities, components, or behaviors are identified precisely enough that a developer could locate them in the codebase without prior knowledge of this specific bug.",,,
Cli-25,Clarity,C5,Technical terminology is used accurately and consistently such that a developer would not be misled about the nature or location of the fault.,,,
Cli-25,Specificity,S1,"Specific inputs, conditions, or triggering events are described concretely enough to be directly used in a test case.",,,
Cli-25,Specificity,S2,"Concrete, ordered reproduction steps are provided that could be followed without prior knowledge of the system.",,,
Cli-25,Specificity,S3,Relevant environment or version information is included and specific enough to rule out version-related ambiguity.,,,
Cli-25,Specificity,S4,"Specific outputs, failures, exceptions, or error messages are reported verbatim or with enough detail to identify the exact failure mode.",,,
Cli-25,Specificity,S5,The report contains details that uniquely identify this issue and distinguish it from superficially similar bugs.,,,
Cli-25,Reproducibility,R1,The expected behavior is explicitly stated in a way that serves as a concrete correctness criterion.,,,
Cli-25,Reproducibility,R2,The observed behavior is explicitly stated with enough detail to recognize the failure when encountered.,,,
Cli-25,Reproducibility,R3,The discrepancy between expected and observed behavior is unambiguously identifiable from the report alone.,,,
Cli-25,Reproducibility,R4,The reported reproduction steps are complete and sufficient to attempt reproduction without additional investigation.,,,
Cli-25,Reproducibility,R5,Required environmental conditions or dependencies are documented specifically enough to set up the reproduction environment.,,,
Cli-25,ReasoningQuality,Q1,The report explicitly proposes a specific potential cause or explanation — not just a symptom description.,,,
Cli-25,ReasoningQuality,Q2,The proposed explanation is directly and specifically linked to observed symptoms with a plausible causal mechanism.,,,
Cli-25,ReasoningQuality,Q3,"The report provides concrete evidence (code references, traces, logs, or data) that supports the proposed explanation.",,,
Cli-25,ReasoningQuality,Q4,The explanation is internally coherent and logically consistent — it does not contradict other information in the report.,,,
Cli-25,ReasoningQuality,Q5,"The explanation references specific technical artifacts (exact log lines, specific method names, concrete code locations, or configuration values).",,,
Cli-25,TechnicalContext,T1,"Specific classes, methods, files, or APIs are named — not just described in general terms.",,,
Cli-25,TechnicalContext,T2,The affected subsystem or module is identifiable precisely enough to locate the relevant source files.,,,
Cli-25,TechnicalContext,T3,"Technical artifacts such as stack traces, logs, screenshots, or code snippets are included and directly relevant to the failure.",,,
Cli-25,TechnicalContext,T4,"External dependencies, libraries, services, or integrations are referenced by name and version when they are relevant to the bug.",,,
Cli-25,TechnicalContext,T5,"Environment details (OS, browser, framework version, hardware, runtime, etc.) are provided with enough specificity to reconstruct the affected environment.",,,
Cli-25,Ambiguity,M1,The report contains vague or underspecified references that a developer would need to resolve before investigating.,,,
Cli-25,Ambiguity,M2,"Inputs, parameters, or conditions are insufficiently described to attempt reproduction.",,,
Cli-25,Ambiguity,M3,Expected behavior is unclear or underspecified to the point that a developer could not determine what the correct behavior should be.,,,
Cli-25,Ambiguity,M4,Environment or version information that would materially affect reproduction is missing.,,,
Cli-25,Ambiguity,M5,The report contains contradictory or inconsistent statements that would mislead a developer.,,,
Cli-25,RepairReadiness,P1,The faulty behavior is described precisely enough to determine what the correct behavior should be and what code change would achieve it.,,,
Cli-25,RepairReadiness,P2,"The specific component, class, method, or code location requiring a fix is identifiable directly from the report.",,,
Cli-25,RepairReadiness,P3,The expected correct behavior is stated concretely enough to serve as an acceptance criterion for the fix.,,,
Cli-25,RepairReadiness,P4,"Relevant constraints, edge cases, or conditions that would affect the fix are documented explicitly.",,,
Cli-25,RepairReadiness,P5,"A developer could implement a plausible fix using only the information in this report, without further investigation or clarification.",,,
Cli-25,RootCauseEvidence,RC1,A specific potential root cause is explicitly proposed in the report — not merely suggested or loosely implied.,,,
Cli-25,RootCauseEvidence,RC2,"The proposed root cause references a specific code construct, operation, API call, data condition, or logic error by name.",,,
Cli-25,RootCauseEvidence,RC3,The causal chain from the root cause to the observed failure is articulated clearly enough that a developer could verify it.,,,
Cli-25,HiddenReproducibility,H1,"The report describes a specific, concrete scenario from which complete and unambiguous reproduction steps can be directly derived — the steps must be fully determinable, not merely suggested or partially implied.",,,
Cli-25,ImpactScope,I1,"A specific subsystem, module, class, or code concept likely affected by the bug is identifiable from the report — not just a broad functional area.",,,
Cli-25,ImpactScope,I2,The report distinguishes between where the symptom manifests and where the underlying defect likely resides.,,,
Cli-25,ImpactScope,I3,Multiple impacted areas or cross-cutting concerns are identified with enough specificity to understand the scope of a fix.,,,
Cli-25,ImpactScope,I4,"The report names three or more distinct technical concepts, classes, methods, or components that are relevant to understanding or fixing the bug.",,,
Cli-27,Actionability,A1,The report describes observable faulty behavior with enough detail to distinguish it from normal or expected behavior.,,,
Cli-27,Actionability,A2,"The affected class, method, API, or code path is specifically identified — not just a general feature area or subsystem.",,,
Cli-27,Actionability,A3,"The report includes concrete debugging artifacts (stack traces, error messages, code snippets, or logs) that directly implicate the fault location.",,,
Cli-27,Actionability,A4,"A developer could immediately attempt to reproduce or investigate the bug using only the information in this report, without needing clarification.",,,
Cli-27,Actionability,A5,"The report pinpoints a specific module, class, or component precisely enough that a developer would know where to start reading code.",,,
Cli-27,Clarity,C1,The report is written with enough precision that a developer unfamiliar with the codebase could understand the failure scenario without guessing.,,,
Cli-27,Clarity,C2,The problem is described precisely enough that a developer could write a failing test case without asking for clarification.,,,
Cli-27,Clarity,C3,The sequence of events or conditions leading to the failure is presented unambiguously — a reader cannot construct multiple different interpretations.,,,
Cli-27,Clarity,C4,"All referenced entities, components, or behaviors are identified precisely enough that a developer could locate them in the codebase without prior knowledge of this specific bug.",,,
Cli-27,Clarity,C5,Technical terminology is used accurately and consistently such that a developer would not be misled about the nature or location of the fault.,,,
Cli-27,Specificity,S1,"Specific inputs, conditions, or triggering events are described concretely enough to be directly used in a test case.",,,
Cli-27,Specificity,S2,"Concrete, ordered reproduction steps are provided that could be followed without prior knowledge of the system.",,,
Cli-27,Specificity,S3,Relevant environment or version information is included and specific enough to rule out version-related ambiguity.,,,
Cli-27,Specificity,S4,"Specific outputs, failures, exceptions, or error messages are reported verbatim or with enough detail to identify the exact failure mode.",,,
Cli-27,Specificity,S5,The report contains details that uniquely identify this issue and distinguish it from superficially similar bugs.,,,
Cli-27,Reproducibility,R1,The expected behavior is explicitly stated in a way that serves as a concrete correctness criterion.,,,
Cli-27,Reproducibility,R2,The observed behavior is explicitly stated with enough detail to recognize the failure when encountered.,,,
Cli-27,Reproducibility,R3,The discrepancy between expected and observed behavior is unambiguously identifiable from the report alone.,,,
Cli-27,Reproducibility,R4,The reported reproduction steps are complete and sufficient to attempt reproduction without additional investigation.,,,
Cli-27,Reproducibility,R5,Required environmental conditions or dependencies are documented specifically enough to set up the reproduction environment.,,,
Cli-27,ReasoningQuality,Q1,The report explicitly proposes a specific potential cause or explanation — not just a symptom description.,,,
Cli-27,ReasoningQuality,Q2,The proposed explanation is directly and specifically linked to observed symptoms with a plausible causal mechanism.,,,
Cli-27,ReasoningQuality,Q3,"The report provides concrete evidence (code references, traces, logs, or data) that supports the proposed explanation.",,,
Cli-27,ReasoningQuality,Q4,The explanation is internally coherent and logically consistent — it does not contradict other information in the report.,,,
Cli-27,ReasoningQuality,Q5,"The explanation references specific technical artifacts (exact log lines, specific method names, concrete code locations, or configuration values).",,,
Cli-27,TechnicalContext,T1,"Specific classes, methods, files, or APIs are named — not just described in general terms.",,,
Cli-27,TechnicalContext,T2,The affected subsystem or module is identifiable precisely enough to locate the relevant source files.,,,
Cli-27,TechnicalContext,T3,"Technical artifacts such as stack traces, logs, screenshots, or code snippets are included and directly relevant to the failure.",,,
Cli-27,TechnicalContext,T4,"External dependencies, libraries, services, or integrations are referenced by name and version when they are relevant to the bug.",,,
Cli-27,TechnicalContext,T5,"Environment details (OS, browser, framework version, hardware, runtime, etc.) are provided with enough specificity to reconstruct the affected environment.",,,
Cli-27,Ambiguity,M1,The report contains vague or underspecified references that a developer would need to resolve before investigating.,,,
Cli-27,Ambiguity,M2,"Inputs, parameters, or conditions are insufficiently described to attempt reproduction.",,,
Cli-27,Ambiguity,M3,Expected behavior is unclear or underspecified to the point that a developer could not determine what the correct behavior should be.,,,
Cli-27,Ambiguity,M4,Environment or version information that would materially affect reproduction is missing.,,,
Cli-27,Ambiguity,M5,The report contains contradictory or inconsistent statements that would mislead a developer.,,,
Cli-27,RepairReadiness,P1,The faulty behavior is described precisely enough to determine what the correct behavior should be and what code change would achieve it.,,,
Cli-27,RepairReadiness,P2,"The specific component, class, method, or code location requiring a fix is identifiable directly from the report.",,,
Cli-27,RepairReadiness,P3,The expected correct behavior is stated concretely enough to serve as an acceptance criterion for the fix.,,,
Cli-27,RepairReadiness,P4,"Relevant constraints, edge cases, or conditions that would affect the fix are documented explicitly.",,,
Cli-27,RepairReadiness,P5,"A developer could implement a plausible fix using only the information in this report, without further investigation or clarification.",,,
Cli-27,RootCauseEvidence,RC1,A specific potential root cause is explicitly proposed in the report — not merely suggested or loosely implied.,,,
Cli-27,RootCauseEvidence,RC2,"The proposed root cause references a specific code construct, operation, API call, data condition, or logic error by name.",,,
Cli-27,RootCauseEvidence,RC3,The causal chain from the root cause to the observed failure is articulated clearly enough that a developer could verify it.,,,
Cli-27,HiddenReproducibility,H1,"The report describes a specific, concrete scenario from which complete and unambiguous reproduction steps can be directly derived — the steps must be fully determinable, not merely suggested or partially implied.",,,
Cli-27,ImpactScope,I1,"A specific subsystem, module, class, or code concept likely affected by the bug is identifiable from the report — not just a broad functional area.",,,
Cli-27,ImpactScope,I2,The report distinguishes between where the symptom manifests and where the underlying defect likely resides.,,,
Cli-27,ImpactScope,I3,Multiple impacted areas or cross-cutting concerns are identified with enough specificity to understand the scope of a fix.,,,
Cli-27,ImpactScope,I4,"The report names three or more distinct technical concepts, classes, methods, or components that are relevant to understanding or fixing the bug.",,,
Cli-3,Actionability,A1,The report describes observable faulty behavior with enough detail to distinguish it from normal or expected behavior.,,,
Cli-3,Actionability,A2,"The affected class, method, API, or code path is specifically identified — not just a general feature area or subsystem.",,,
Cli-3,Actionability,A3,"The report includes concrete debugging artifacts (stack traces, error messages, code snippets, or logs) that directly implicate the fault location.",,,
Cli-3,Actionability,A4,"A developer could immediately attempt to reproduce or investigate the bug using only the information in this report, without needing clarification.",,,
Cli-3,Actionability,A5,"The report pinpoints a specific module, class, or component precisely enough that a developer would know where to start reading code.",,,
Cli-3,Clarity,C1,The report is written with enough precision that a developer unfamiliar with the codebase could understand the failure scenario without guessing.,,,
Cli-3,Clarity,C2,The problem is described precisely enough that a developer could write a failing test case without asking for clarification.,,,
Cli-3,Clarity,C3,The sequence of events or conditions leading to the failure is presented unambiguously — a reader cannot construct multiple different interpretations.,,,
Cli-3,Clarity,C4,"All referenced entities, components, or behaviors are identified precisely enough that a developer could locate them in the codebase without prior knowledge of this specific bug.",,,
Cli-3,Clarity,C5,Technical terminology is used accurately and consistently such that a developer would not be misled about the nature or location of the fault.,,,
Cli-3,Specificity,S1,"Specific inputs, conditions, or triggering events are described concretely enough to be directly used in a test case.",,,
Cli-3,Specificity,S2,"Concrete, ordered reproduction steps are provided that could be followed without prior knowledge of the system.",,,
Cli-3,Specificity,S3,Relevant environment or version information is included and specific enough to rule out version-related ambiguity.,,,
Cli-3,Specificity,S4,"Specific outputs, failures, exceptions, or error messages are reported verbatim or with enough detail to identify the exact failure mode.",,,
Cli-3,Specificity,S5,The report contains details that uniquely identify this issue and distinguish it from superficially similar bugs.,,,
Cli-3,Reproducibility,R1,The expected behavior is explicitly stated in a way that serves as a concrete correctness criterion.,,,
Cli-3,Reproducibility,R2,The observed behavior is explicitly stated with enough detail to recognize the failure when encountered.,,,
Cli-3,Reproducibility,R3,The discrepancy between expected and observed behavior is unambiguously identifiable from the report alone.,,,
Cli-3,Reproducibility,R4,The reported reproduction steps are complete and sufficient to attempt reproduction without additional investigation.,,,
Cli-3,Reproducibility,R5,Required environmental conditions or dependencies are documented specifically enough to set up the reproduction environment.,,,
Cli-3,ReasoningQuality,Q1,The report explicitly proposes a specific potential cause or explanation — not just a symptom description.,,,
Cli-3,ReasoningQuality,Q2,The proposed explanation is directly and specifically linked to observed symptoms with a plausible causal mechanism.,,,
Cli-3,ReasoningQuality,Q3,"The report provides concrete evidence (code references, traces, logs, or data) that supports the proposed explanation.",,,
Cli-3,ReasoningQuality,Q4,The explanation is internally coherent and logically consistent — it does not contradict other information in the report.,,,
Cli-3,ReasoningQuality,Q5,"The explanation references specific technical artifacts (exact log lines, specific method names, concrete code locations, or configuration values).",,,
Cli-3,TechnicalContext,T1,"Specific classes, methods, files, or APIs are named — not just described in general terms.",,,
Cli-3,TechnicalContext,T2,The affected subsystem or module is identifiable precisely enough to locate the relevant source files.,,,
Cli-3,TechnicalContext,T3,"Technical artifacts such as stack traces, logs, screenshots, or code snippets are included and directly relevant to the failure.",,,
Cli-3,TechnicalContext,T4,"External dependencies, libraries, services, or integrations are referenced by name and version when they are relevant to the bug.",,,
Cli-3,TechnicalContext,T5,"Environment details (OS, browser, framework version, hardware, runtime, etc.) are provided with enough specificity to reconstruct the affected environment.",,,
Cli-3,Ambiguity,M1,The report contains vague or underspecified references that a developer would need to resolve before investigating.,,,
Cli-3,Ambiguity,M2,"Inputs, parameters, or conditions are insufficiently described to attempt reproduction.",,,
Cli-3,Ambiguity,M3,Expected behavior is unclear or underspecified to the point that a developer could not determine what the correct behavior should be.,,,
Cli-3,Ambiguity,M4,Environment or version information that would materially affect reproduction is missing.,,,
Cli-3,Ambiguity,M5,The report contains contradictory or inconsistent statements that would mislead a developer.,,,
Cli-3,RepairReadiness,P1,The faulty behavior is described precisely enough to determine what the correct behavior should be and what code change would achieve it.,,,
Cli-3,RepairReadiness,P2,"The specific component, class, method, or code location requiring a fix is identifiable directly from the report.",,,
Cli-3,RepairReadiness,P3,The expected correct behavior is stated concretely enough to serve as an acceptance criterion for the fix.,,,
Cli-3,RepairReadiness,P4,"Relevant constraints, edge cases, or conditions that would affect the fix are documented explicitly.",,,
Cli-3,RepairReadiness,P5,"A developer could implement a plausible fix using only the information in this report, without further investigation or clarification.",,,
Cli-3,RootCauseEvidence,RC1,A specific potential root cause is explicitly proposed in the report — not merely suggested or loosely implied.,,,
Cli-3,RootCauseEvidence,RC2,"The proposed root cause references a specific code construct, operation, API call, data condition, or logic error by name.",,,
Cli-3,RootCauseEvidence,RC3,The causal chain from the root cause to the observed failure is articulated clearly enough that a developer could verify it.,,,
Cli-3,HiddenReproducibility,H1,"The report describes a specific, concrete scenario from which complete and unambiguous reproduction steps can be directly derived — the steps must be fully determinable, not merely suggested or partially implied.",,,
Cli-3,ImpactScope,I1,"A specific subsystem, module, class, or code concept likely affected by the bug is identifiable from the report — not just a broad functional area.",,,
Cli-3,ImpactScope,I2,The report distinguishes between where the symptom manifests and where the underlying defect likely resides.,,,
Cli-3,ImpactScope,I3,Multiple impacted areas or cross-cutting concerns are identified with enough specificity to understand the scope of a fix.,,,
Cli-3,ImpactScope,I4,"The report names three or more distinct technical concepts, classes, methods, or components that are relevant to understanding or fixing the bug.",,,
Cli-31,Actionability,A1,The report describes observable faulty behavior with enough detail to distinguish it from normal or expected behavior.,,,
Cli-31,Actionability,A2,"The affected class, method, API, or code path is specifically identified — not just a general feature area or subsystem.",,,
Cli-31,Actionability,A3,"The report includes concrete debugging artifacts (stack traces, error messages, code snippets, or logs) that directly implicate the fault location.",,,
Cli-31,Actionability,A4,"A developer could immediately attempt to reproduce or investigate the bug using only the information in this report, without needing clarification.",,,
Cli-31,Actionability,A5,"The report pinpoints a specific module, class, or component precisely enough that a developer would know where to start reading code.",,,
Cli-31,Clarity,C1,The report is written with enough precision that a developer unfamiliar with the codebase could understand the failure scenario without guessing.,,,
Cli-31,Clarity,C2,The problem is described precisely enough that a developer could write a failing test case without asking for clarification.,,,
Cli-31,Clarity,C3,The sequence of events or conditions leading to the failure is presented unambiguously — a reader cannot construct multiple different interpretations.,,,
Cli-31,Clarity,C4,"All referenced entities, components, or behaviors are identified precisely enough that a developer could locate them in the codebase without prior knowledge of this specific bug.",,,
Cli-31,Clarity,C5,Technical terminology is used accurately and consistently such that a developer would not be misled about the nature or location of the fault.,,,
Cli-31,Specificity,S1,"Specific inputs, conditions, or triggering events are described concretely enough to be directly used in a test case.",,,
Cli-31,Specificity,S2,"Concrete, ordered reproduction steps are provided that could be followed without prior knowledge of the system.",,,
Cli-31,Specificity,S3,Relevant environment or version information is included and specific enough to rule out version-related ambiguity.,,,
Cli-31,Specificity,S4,"Specific outputs, failures, exceptions, or error messages are reported verbatim or with enough detail to identify the exact failure mode.",,,
Cli-31,Specificity,S5,The report contains details that uniquely identify this issue and distinguish it from superficially similar bugs.,,,
Cli-31,Reproducibility,R1,The expected behavior is explicitly stated in a way that serves as a concrete correctness criterion.,,,
Cli-31,Reproducibility,R2,The observed behavior is explicitly stated with enough detail to recognize the failure when encountered.,,,
Cli-31,Reproducibility,R3,The discrepancy between expected and observed behavior is unambiguously identifiable from the report alone.,,,
Cli-31,Reproducibility,R4,The reported reproduction steps are complete and sufficient to attempt reproduction without additional investigation.,,,
Cli-31,Reproducibility,R5,Required environmental conditions or dependencies are documented specifically enough to set up the reproduction environment.,,,
Cli-31,ReasoningQuality,Q1,The report explicitly proposes a specific potential cause or explanation — not just a symptom description.,,,
Cli-31,ReasoningQuality,Q2,The proposed explanation is directly and specifically linked to observed symptoms with a plausible causal mechanism.,,,
Cli-31,ReasoningQuality,Q3,"The report provides concrete evidence (code references, traces, logs, or data) that supports the proposed explanation.",,,
Cli-31,ReasoningQuality,Q4,The explanation is internally coherent and logically consistent — it does not contradict other information in the report.,,,
Cli-31,ReasoningQuality,Q5,"The explanation references specific technical artifacts (exact log lines, specific method names, concrete code locations, or configuration values).",,,
Cli-31,TechnicalContext,T1,"Specific classes, methods, files, or APIs are named — not just described in general terms.",,,
Cli-31,TechnicalContext,T2,The affected subsystem or module is identifiable precisely enough to locate the relevant source files.,,,
Cli-31,TechnicalContext,T3,"Technical artifacts such as stack traces, logs, screenshots, or code snippets are included and directly relevant to the failure.",,,
Cli-31,TechnicalContext,T4,"External dependencies, libraries, services, or integrations are referenced by name and version when they are relevant to the bug.",,,
Cli-31,TechnicalContext,T5,"Environment details (OS, browser, framework version, hardware, runtime, etc.) are provided with enough specificity to reconstruct the affected environment.",,,
Cli-31,Ambiguity,M1,The report contains vague or underspecified references that a developer would need to resolve before investigating.,,,
Cli-31,Ambiguity,M2,"Inputs, parameters, or conditions are insufficiently described to attempt reproduction.",,,
Cli-31,Ambiguity,M3,Expected behavior is unclear or underspecified to the point that a developer could not determine what the correct behavior should be.,,,
Cli-31,Ambiguity,M4,Environment or version information that would materially affect reproduction is missing.,,,
Cli-31,Ambiguity,M5,The report contains contradictory or inconsistent statements that would mislead a developer.,,,
Cli-31,RepairReadiness,P1,The faulty behavior is described precisely enough to determine what the correct behavior should be and what code change would achieve it.,,,
Cli-31,RepairReadiness,P2,"The specific component, class, method, or code location requiring a fix is identifiable directly from the report.",,,
Cli-31,RepairReadiness,P3,The expected correct behavior is stated concretely enough to serve as an acceptance criterion for the fix.,,,
Cli-31,RepairReadiness,P4,"Relevant constraints, edge cases, or conditions that would affect the fix are documented explicitly.",,,
Cli-31,RepairReadiness,P5,"A developer could implement a plausible fix using only the information in this report, without further investigation or clarification.",,,
Cli-31,RootCauseEvidence,RC1,A specific potential root cause is explicitly proposed in the report — not merely suggested or loosely implied.,,,
Cli-31,RootCauseEvidence,RC2,"The proposed root cause references a specific code construct, operation, API call, data condition, or logic error by name.",,,
Cli-31,RootCauseEvidence,RC3,The causal chain from the root cause to the observed failure is articulated clearly enough that a developer could verify it.,,,
Cli-31,HiddenReproducibility,H1,"The report describes a specific, concrete scenario from which complete and unambiguous reproduction steps can be directly derived — the steps must be fully determinable, not merely suggested or partially implied.",,,
Cli-31,ImpactScope,I1,"A specific subsystem, module, class, or code concept likely affected by the bug is identifiable from the report — not just a broad functional area.",,,
Cli-31,ImpactScope,I2,The report distinguishes between where the symptom manifests and where the underlying defect likely resides.,,,
Cli-31,ImpactScope,I3,Multiple impacted areas or cross-cutting concerns are identified with enough specificity to understand the scope of a fix.,,,
Cli-31,ImpactScope,I4,"The report names three or more distinct technical concepts, classes, methods, or components that are relevant to understanding or fixing the bug.",,,
Cli-7,Actionability,A1,The report describes observable faulty behavior with enough detail to distinguish it from normal or expected behavior.,,,
Cli-7,Actionability,A2,"The affected class, method, API, or code path is specifically identified — not just a general feature area or subsystem.",,,
Cli-7,Actionability,A3,"The report includes concrete debugging artifacts (stack traces, error messages, code snippets, or logs) that directly implicate the fault location.",,,
Cli-7,Actionability,A4,"A developer could immediately attempt to reproduce or investigate the bug using only the information in this report, without needing clarification.",,,
Cli-7,Actionability,A5,"The report pinpoints a specific module, class, or component precisely enough that a developer would know where to start reading code.",,,
Cli-7,Clarity,C1,The report is written with enough precision that a developer unfamiliar with the codebase could understand the failure scenario without guessing.,,,
Cli-7,Clarity,C2,The problem is described precisely enough that a developer could write a failing test case without asking for clarification.,,,
Cli-7,Clarity,C3,The sequence of events or conditions leading to the failure is presented unambiguously — a reader cannot construct multiple different interpretations.,,,
Cli-7,Clarity,C4,"All referenced entities, components, or behaviors are identified precisely enough that a developer could locate them in the codebase without prior knowledge of this specific bug.",,,
Cli-7,Clarity,C5,Technical terminology is used accurately and consistently such that a developer would not be misled about the nature or location of the fault.,,,
Cli-7,Specificity,S1,"Specific inputs, conditions, or triggering events are described concretely enough to be directly used in a test case.",,,
Cli-7,Specificity,S2,"Concrete, ordered reproduction steps are provided that could be followed without prior knowledge of the system.",,,
Cli-7,Specificity,S3,Relevant environment or version information is included and specific enough to rule out version-related ambiguity.,,,
